document_id;filename;document_type;program_scope;election_year;content_hash;bytes;source_count;main_file_count;other_file_count
DOC-000d321cbf7c;bogpsol.txt;Grundsatzprogramm;übergeordnet;;000d321cbf7c47cafa40f9478998c92ca194f8c32cf3d4ac05c6afdf5abbde86;27076;1;1;0
DOC-002a66a0f48d;wi11spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2011.0;002a66a0f48d83aafbe5703614feef05e8fc4c6bb539f7e5f2c5885e675be0eb;94843;1;1;0
DOC-0034ef81a29c;dl16fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2016.0;0034ef81a29c817ef54ca8c4d18975f9dff76112f75c6c3757ab8e5ad95079dc;32415;1;1;0
DOC-003f5f65e246;ol16fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2016.0;003f5f65e2461a06c36ad0a0f6134ecbf8fb0f5de03263270382d52b16e20248;4840;1;1;0
DOC-007aaa40aec3;Wettin-Löbejün_WISE_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;007aaa40aec37530f488c885ce0c04da05e065e7074e9cf09ac2da261b745961;2489;1;1;0
DOC-00805f98d2b5;ge14afd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;00805f98d2b59d4b1ae8bae2b1a2c746e178418352021bf85d2be03fc4567fac;25548;1;1;0
DOC-008ec6103c37;Jena_Volt_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;008ec6103c37950e7aa1b1b7180b095971fef4924b4e625684679b2168a301aa;107584;1;1;0
DOC-00ef2716ffa2;Mandelbachtal_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;00ef2716ffa29d82b1d11b0da8667e68e0b45e0f4a0021f8e92423da62c1b5b2;2151;1;1;0
DOC-010d25adf076;bs16cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2016.0;010d25adf076a8f38e8544ccb7fe1354a91c40bb0624c38c9c8ccc30962b7723;27096;1;1;0
DOC-0113e1b77b9a;sb14fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0113e1b77b9abe1214f411dcacbc6e1f329e92cc1addfaa09f2e55203701edeb;53039;1;1;0
DOC-013d4566ce30;Ludwigsburg_SPD_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;013d4566ce3069c01dadc775ba24098e730385fbe6c635d31db45042a1161950;3462;1;1;0
DOC-0160ee1fb4c4;dr19par.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2019.0;0160ee1fb4c40d50ef334c4511c1a5095f233a77ed6389745461bb868443b38c;1712;1;1;0
DOC-016593188561;da06spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2006.0;0165931885617a8fcd60060bde60a0a9c6a10bd9e98ea8baa029d58e0d7355f7;75683;1;1;0
DOC-017d8715f782;ob14spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;017d8715f7826679b1af45fa29b34dfb215abc4b0c85e92a6aa16e584f57a102;89840;1;1;0
DOC-0180e3e48044;Heringsdorf_InKa_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0180e3e480445a4eefdb8e4a78d3a35febae4fed15675a44469c6fc28f1b9554;579;1;1;0
DOC-0186ab29760a;mo09cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2009.0;0186ab29760a97b06bcb04d448e54c4d2fa42403b31288ad82fa26f2462bd3cb;9156;1;1;0
DOC-01a2639dd737;lb08spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2008.0;01a2639dd7374d1326dcc6e1f99f8b9ae48bceb0780fdc3655c8ccced9d14149;46935;1;1;0
DOC-01a770a4b059;ma14spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;01a770a4b059bdd9bbc6b3923e0316bf3a44cbdd9b1161b5cae521719261eb57;60029;1;1;0
DOC-01e78d5e8868;ka11spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2011.0;01e78d5e8868d141f0bb17f9a3f58c32845dceabe8a937455067dba8dd87b1e8;46149;1;1;0
DOC-020e87bd9886;je19spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2019.0;020e87bd9886a8aa1723d37cd57503d85de1b37250531f86d42448862eea78bf;54688;1;1;0
DOC-0216b1eae267;Baden-Baden_FBB_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0216b1eae2674252a7b730b4ec0583dca46aaae472bac6c49b1cddfec1a0ec69;9239;1;1;0
DOC-021e8b523525;wu04gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2004.0;021e8b523525a473da3ac5fb4511bce11d5fb44039e2563eec023fd12e47c02f;61265;1;1;0
DOC-0228a68c58eb;ki18pir.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2018.0;0228a68c58eb506b1dcfd95059cc835de082a7cd0855a433c72eb802f01acdfc;17790;1;1;0
DOC-0234a24fc969;Offenburg_FDP_2024.txt;anderes kommunales Wahlprogramm;Landkreis;2024.0;0234a24fc96993a5e366a5d3e02a5d2f31cde5d6781a77269a33588a0e82e452;10066;2;1;1
