source;filename;content_hash;bytes;manifesto_id;municipality;state;party;party_abbreviation;election_year;document_type;program_scope;classification_reason;path
main;ka89cdu.txt;58ce00388e1aaa8c3159d97a9523d7aceeb168fb994a2d1ec3dd74fbdddbedfd;34889;GLMP-5C13BBBD4D;Kassel;Hessen;CDU;cdu;1989.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka89cdu.txt
main;ka93cdu.txt;9f8680b6bd98f096d09c108cd7e2cfac3d97a02e98ea3be45cf47c511345bf4e;23320;GLMP-EBE242CD2B;Kassel;Hessen;CDU;cdu;1993.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka93cdu.txt
main;of93fdp.txt;ba4d918f8f22f9fc671cc1d66d6560e067bbf2f1750d64327662425b5cf25b1c;92530;GLMP-D6622D73EF;Offenbach am Main;Hessen;FDP;fdp;1993.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of93fdp.txt
main;of93gru.txt;6a3cd97e8eb265e41024c34a2aba6f6b2653681f45e0209f327349117d59dc7a;139442;GLMP-4D127DEB31;Offenbach am Main;Hessen;Grüne;gru;1993.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of93gru.txt
main;ac94spd.txt;4a23157791dc96a7e3544f33efbe755d6df0c852399fb2405e43f0b42c883220;24724;GLMP-98ED3253C4;Aachen;Nordrhein-Westfalen;SPD;spd;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ac94spd.txt
main;bi94gru.txt;6a4085e27460adf481d57a5430189b84dd87460769e80b70a7b6f85e093d26bd;11808;GLMP-D9821B418E;Bielefeld;Nordrhein-Westfalen;Grüne;gru;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bi94gru.txt
main;bn94cdu.txt;109c69826562e95ce1fa03f52ec7f30dc4e6292368e1d68df37c4a08eb7778bf;46676;GLMP-A11301080C;Bonn;Nordrhein-Westfalen;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bn94cdu.txt
main;es94fdp.txt;15b0672edb00f26a720a73c2b2dc5b444a6b25ba88a983ec78354f69a138d7a4;43341;GLMP-1C49532B32;Essen;Nordrhein-Westfalen;FDP;fdp;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/es94fdp.txt
main;hm94gru.txt;2fc1da0c989851edccd04531649fc4b16e2ef5e12395956d8a8577e032c4f4a5;38028;GLMP-1BE660B5BD;Hamm;Nordrhein-Westfalen;Grüne;gru;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/hm94gru.txt
main;kr94cdu.txt;dbf5ac5300059bcd70d7a86e8f0b0933e9be3e520080387c5b82d02079877a1a;150801;GLMP-5B5E76BBAC;Krefeld;Nordrhein-Westfalen;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/kr94cdu.txt
main;le94cdu.txt;2774b7653ac7dc1ad0e3b33e46f8aff510d726bdd57eae46e92bd6acf98a3dee;49412;GLMP-BE5116D001;Leverkusen;Nordrhein-Westfalen;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/le94cdu.txt
main;mg94fdp.txt;e32b35c662155eca12f81c96103f5d77100876e8b96287ca1a5546b7682ea22d;153626;GLMP-0436B165C9;Moenchengladbach;Nordrhein-Westfalen;FDP;fdp;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mg94fdp.txt
main;mo94cdu.txt;0b6ba3066990c1a0df038ec0e94ecfa24bfc8300d6386ff00f8a4058e1749893;26244;GLMP-5466071F66;Moers;Nordrhein-Westfalen;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mo94cdu.txt
main;ob94cdu.txt;68b2e6760bfebfefb511fefcc7b4e1f0e8b68edc7ae9a31e3e64e75f32e3de20;51388;GLMP-8881E7894B;Oberhausen;Nordrhein-Westfalen;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ob94cdu.txt
main;si94gru.txt;06e352148b6bb4cdf853848b27cca47f7af8af1aa55bbf9d59c29b357c62d5d0;140902;GLMP-61490BC93C;Siegen;Nordrhein-Westfalen;Grüne;gru;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/si94gru.txt
main;da97die.txt;94ebe6cf843b2bc055ad38144cd1833c683df4c80066af0e51d5a308caf10bc4;2187;GLMP-141D77F62C;Darmstadt;Hessen;Die Frauen;die;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/da97die.txt
main;ka97cdu.txt;5b84dd21b94e6bbc79dddd9b7b21f141d3b23a8031d8ff84457d312d4e2e5f45;7238;GLMP-B0A0CC33E1;Kassel;Hessen;CDU;cdu;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka97cdu.txt
main;ka97fwg.txt;197f575c701205591b58606a046e3584801ec57270411b39154c12ae6c0cd502;41057;GLMP-3865103051;Kassel;Hessen;Freie Wähler;fwg;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka97fwg.txt
main;of97fdp.txt;72bd74b2939a7bec1a01ed43345c437592a9e960e47e6285602d2ab9e9ad1e0c;100965;GLMP-42D957409F;Offenbach am Main;Hessen;FDP;fdp;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of97fdp.txt
main;of97gru.txt;51c6eacce4d18698ae4dd4955902e96ab1b7515c76fd0619005dfbef49daa721;62434;GLMP-D082DF80B9;Offenbach am Main;Hessen;Grüne;gru;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of97gru.txt
main;ac99spd.txt;43a4dd25cfd7cb3b02f4d2d82d270b062138116c4c648d7e729ab754e98fa113;87718;GLMP-0E35705B46;Aachen;Nordrhein-Westfalen;SPD;spd;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ac99spd.txt
main;bi99gru.txt;770194e16433561afd01d4484ff4ac9f411a4e307268ad7295cab35af94be2aa;149594;GLMP-5454851897;Bielefeld;Nordrhein-Westfalen;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bi99gru.txt
main;bo99fdp.txt;4d790188360f6be2ecab5e12458d19a25faba3bae9b4ff22fc8f002027a5eb1c;17511;GLMP-38B32FB7BA;Bochum;Nordrhein-Westfalen;FDP;fdp;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bo99fdp.txt
main;bo99gru.txt;8158f7f60717756f80211e0d59701509843df51aadeb173dd029418a21f6a398;151607;GLMP-02AA95C9ED;Bochum;Nordrhein-Westfalen;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bo99gru.txt
main;bn99cdu.txt;b0b114a1510f0ef8a95c38caa10375babfb25c54badd838369a70945bce73ce6;206892;GLMP-C14E2272AE;Bonn;Nordrhein-Westfalen;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bn99cdu.txt
main;bn99gru.txt;79cbe2640ca6910187a2615f5de59f7a7580eba5d1208ddfd36adb7855bd1504;146846;GLMP-B7B335DAD8;Bonn;Nordrhein-Westfalen;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bn99gru.txt
main;es99fdp.txt;f0dfa0ab8cfee906e42c7fa5588afd2c0cda79e8681f5690177b0a944be6f577;27572;GLMP-6CABD85A43;Essen;Nordrhein-Westfalen;FDP;fdp;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/es99fdp.txt
main;hm99gru.txt;e66d528e9467ff25da2bdecca969952347394db7805cc7df15a3dc411fa32d84;32839;GLMP-E4F514A69D;Hamm;Nordrhein-Westfalen;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/hm99gru.txt
