document_use_id;document_id;manifesto_id;municipality;state;ags;party;party_abbreviation;election_year;document_type;program_scope;use_type;filename;source;content_hash;ags_source
USE-a93460c0d053;DOC-58ce00388e1a;GLMP-5C13BBBD4D;Kassel;Hessen;06611000;CDU;cdu;1989.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka89cdu.txt;main;58ce00388e1aaa8c3159d97a9523d7aceeb168fb994a2d1ec3dd74fbdddbedfd;manual_2024_reference
USE-c7631504f7cf;DOC-9f8680b6bd98;GLMP-EBE242CD2B;Kassel;Hessen;06611000;CDU;cdu;1993.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka93cdu.txt;main;9f8680b6bd98f096d09c108cd7e2cfac3d97a02e98ea3be45cf47c511345bf4e;manual_2024_reference
USE-c1afc52ccf15;DOC-ba4d918f8f22;GLMP-D6622D73EF;Offenbach am Main;Hessen;06413000;FDP;fdp;1993.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of93fdp.txt;main;ba4d918f8f22f9fc671cc1d66d6560e067bbf2f1750d64327662425b5cf25b1c;manual_2024_reference
USE-7bd5e08ce0a9;DOC-6a3cd97e8eb2;GLMP-4D127DEB31;Offenbach am Main;Hessen;06413000;Grüne;gru;1993.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of93gru.txt;main;6a3cd97e8eb265e41024c34a2aba6f6b2653681f45e0209f327349117d59dc7a;manual_2024_reference
USE-3bf2093a3775;DOC-4a23157791dc;GLMP-98ED3253C4;Aachen;Nordrhein-Westfalen;05334002;SPD;spd;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ac94spd.txt;main;4a23157791dc96a7e3544f33efbe755d6df0c852399fb2405e43f0b42c883220;manual_2024_reference
USE-a3757f568746;DOC-6a4085e27460;GLMP-D9821B418E;Bielefeld;Nordrhein-Westfalen;05711000;Grüne;gru;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bi94gru.txt;main;6a4085e27460adf481d57a5430189b84dd87460769e80b70a7b6f85e093d26bd;manual_2024_reference
USE-58f3eab4037c;DOC-109c69826562;GLMP-A11301080C;Bonn;Nordrhein-Westfalen;05314000;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bn94cdu.txt;main;109c69826562e95ce1fa03f52ec7f30dc4e6292368e1d68df37c4a08eb7778bf;manual_2024_reference
USE-0482ad3d8137;DOC-15b0672edb00;GLMP-1C49532B32;Essen;Nordrhein-Westfalen;05113000;FDP;fdp;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;es94fdp.txt;main;15b0672edb00f26a720a73c2b2dc5b444a6b25ba88a983ec78354f69a138d7a4;manual_2024_reference
USE-0bab7ef968e6;DOC-2fc1da0c9898;GLMP-1BE660B5BD;Hamm;Nordrhein-Westfalen;05915000;Grüne;gru;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;hm94gru.txt;main;2fc1da0c989851edccd04531649fc4b16e2ef5e12395956d8a8577e032c4f4a5;manual_2024_reference
USE-3a5d6364a922;DOC-dbf5ac530005;GLMP-5B5E76BBAC;Krefeld;Nordrhein-Westfalen;05114000;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;kr94cdu.txt;main;dbf5ac5300059bcd70d7a86e8f0b0933e9be3e520080387c5b82d02079877a1a;manual_2024_reference
USE-9c4fa7f7a2fd;DOC-2774b7653ac7;GLMP-BE5116D001;Leverkusen;Nordrhein-Westfalen;05316000;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;le94cdu.txt;main;2774b7653ac7dc1ad0e3b33e46f8aff510d726bdd57eae46e92bd6acf98a3dee;manual_2024_reference
USE-d124beaa54c8;DOC-e32b35c66215;GLMP-0436B165C9;Moenchengladbach;Nordrhein-Westfalen;05116000;FDP;fdp;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mg94fdp.txt;main;e32b35c662155eca12f81c96103f5d77100876e8b96287ca1a5546b7682ea22d;manual_2024_reference
USE-25ce6ba4ff2d;DOC-0b6ba3066990;GLMP-5466071F66;Moers;Nordrhein-Westfalen;05170024;CDU;cdu;1994.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mo94cdu.txt;main;0b6ba3066990c1a0df038ec0e94ecfa24bfc8300d6386ff00f8a4058e1749893;manual_2024_reference
