ags;municipality;state;ags_source
05334002;Aachen;Nordrhein-Westfalen;manual_2024_reference
08136088;Aalen;Baden-Württemberg;local_cities_components
13071004;Altentreptow;Mecklenburg-Vorpommern;local_cities_components
07331003;Alzey;Rheinland-Pfalz;local_cities_components
16070004;Arnstadt;Thüringen;local_cities_components
09761000;Augsburg;Bayern;manual_2024_reference
12069020;Bad Belzig;Brandenburg;local_cities_components
15088020;Bad Dürrenberg;Sachsen-Anhalt;local_cities_components
07138004;Bad Hönningen;Rheinland-Pfalz;local_cities_components
07133006;Bad Kreuznach;Rheinland-Pfalz;local_cities_components
14729010;Bad Lausick;Sachsen;local_cities_components
08215100;Bad Schönborn;Baden-Württemberg;local_cities_components
08211000;Baden-Baden;Baden-Württemberg;local_cities_components
08237004;Baiersbronn;Baden-Württemberg;local_cities_components
15083040;Barleben;Sachsen-Anhalt;local_cities_components
12069017;Beelitz;Brandenburg;local_cities_components
05378004;Bergisch Gladbach;Nordrhein-Westfalen;manual_2024_reference
12060020;Bernau bei Berlin;Brandenburg;local_cities_components
15086005;Biederitz;Sachsen-Anhalt;local_cities_components
05711000;Bielefeld;Nordrhein-Westfalen;manual_2024_reference
15090070;Bismark;Sachsen-Anhalt;local_cities_components
08326005;Blumberg;Baden-Württemberg;local_cities_components
05911000;Bochum;Nordrhein-Westfalen;manual_2024_reference
05314000;Bonn;Nordrhein-Westfalen;manual_2024_reference
07140501;Boppard;Rheinland-Pfalz;local_cities_components
05512000;Bottrop;Nordrhein-Westfalen;manual_2024_reference
12051000;Brandenburg an der Havel;Brandenburg;local_cities_components
03101000;Braunschweig;Niedersachsen;manual_2024_reference
04011000;Bremen;Bremen;manual_2024_reference
04012000;Bremerhaven;Bremen;manual_2024_reference
12063036;Brieselang;Brandenburg;local_cities_components
08115003;Böblingen;Baden-Württemberg;local_cities_components
13072020;Bützow;Mecklenburg-Vorpommern;local_cities_components
15089055;Calbe (Saale);Sachsen-Anhalt;local_cities_components
14511000;Chemnitz;Sachsen;local_cities_components
12052000;Cottbus;Brandenburg;local_cities_components
06411000;Darmstadt;Hessen;manual_2024_reference
03401000;Delmenhorst;Niedersachsen;manual_2024_reference
15001000;Dessau-Roßlau;Sachsen-Anhalt;local_cities_components
10044111;Dillingen (Saar);Saarland;local_cities_components
08118011;Ditzingen;Baden-Württemberg;local_cities_components
16074011;Dornburg-Camburg;Thüringen;local_cities_components
05913000;Dortmund;Nordrhein-Westfalen;manual_2024_reference
14612000;Dresden;Sachsen;local_cities_components
05111000;Duesseldorf;Nordrhein-Westfalen;manual_2024_reference
05112000;Duisburg;Nordrhein-Westfalen;manual_2024_reference
13072029;Dummerstorf;Mecklenburg-Vorpommern;local_cities_components
14626085;Ebersbach-Neugersdorf;Sachsen;local_cities_components
12060052;Eberswalde;Brandenburg;local_cities_components
14521170;Eibenstock;Sachsen;local_cities_components
03402000;Emden;Niedersachsen;manual_2024_reference
16051000;Erfurt;Thüringen;local_cities_components
09562000;Erlangen;Bayern;manual_2024_reference
08125027;Erlenbach;Baden-Württemberg;local_cities_components
05113000;Essen;Nordrhein-Westfalen;manual_2024_reference
08116019;Esslingen am Neckar;Baden-Württemberg;local_cities_components
12063080;Falkensee;Brandenburg;local_cities_components
12071076;Forst (Lausitz);Brandenburg;local_cities_components
16072023;Frankenblick;Thüringen;local_cities_components
12053000;Frankfurt (Oder);Brandenburg;local_cities_components
06412000;Frankfurt am Main;Hessen;manual_2024_reference
12064136;Fredersdorf-Vogelsdorf;Brandenburg;local_cities_components
14522180;Freiberg;Sachsen;local_cities_components
08311000;Freiburg im Breisgau;Baden-Württemberg;local_cities_components
08435016;Friedrichshafen;Baden-Württemberg;local_cities_components
14729140;Frohburg;Sachsen;local_cities_components
09563000;Fuerth;Bayern;manual_2024_reference
12065084;Fürstenberg (Havel);Brandenburg;local_cities_components
13074021;Gadebusch;Mecklenburg-Vorpommern;local_cities_components
05513000;Gelsenkirchen;Nordrhein-Westfalen;manual_2024_reference
16067092;Georgenthal;Thüringen;local_cities_components
16052000;Gera;Thüringen;local_cities_components
03159016;Goettingen;Niedersachsen;manual_2024_reference
15086055;Gommern;Sachsen-Anhalt;local_cities_components
13076050;Grabow;Mecklenburg-Vorpommern;local_cities_components
13075039;Greifswald;Mecklenburg-Vorpommern;local_cities_components
13073035;Grimmen;Mecklenburg-Vorpommern;local_cities_components
12066112;Großräschen;Brandenburg;local_cities_components
14625200;Großröhrsdorf;Sachsen;local_cities_components
08117026;Göppingen;Baden-Württemberg;local_cities_components
14626110;Görlitz;Sachsen;local_cities_components
13072043;Güstrow;Mecklenburg-Vorpommern;local_cities_components
05754008;Gütersloh;Nordrhein-Westfalen;manual_2024_reference
05914000;Hagen;Nordrhein-Westfalen;manual_2024_reference
13076060;Hagenow;Mecklenburg-Vorpommern;local_cities_components
14522230;Hainichen;Sachsen;local_cities_components
15083270;Haldensleben;Sachsen-Anhalt;local_cities_components
15002000;Halle (Saale);Sachsen-Anhalt;local_cities_components
05915000;Hamm;Nordrhein-Westfalen;manual_2024_reference
03241001;Hannover;Niedersachsen;manual_2024_reference
07332025;Haßloch;Rheinland-Pfalz;local_cities_components
08221000;Heidelberg;Baden-Württemberg;local_cities_components
08135019;Heidenheim an der Brenz;Baden-Württemberg;local_cities_components
08121000;Heilbronn;Baden-Württemberg;local_cities_components
13075049;Heringsdorf;Mecklenburg-Vorpommern;local_cities_components
05916000;Herne;Nordrhein-Westfalen;manual_2024_reference
15084235;Hohenmölsen;Sachsen-Anhalt;local_cities_components
08326027;Hüfingen;Baden-Württemberg;local_cities_components
09161000;Ingolstadt;Bayern;manual_2024_reference
16053000;Jena;Thüringen;local_cities_components
07312000;Kaiserslautern;Rheinland-Pfalz;local_cities_components
08336045;Kandern;Baden-Württemberg;local_cities_components
08212000;Karlsruhe;Baden-Württemberg;local_cities_components
06611000;Kassel;Hessen;manual_2024_reference
08236070;Keltern;Baden-Württemberg;local_cities_components
01002000;Kiel;Schleswig-Holstein;manual_2024_reference
07333039;Kirchheimbolanden;Rheinland-Pfalz;local_cities_components
12069304;Kleinmachnow;Brandenburg;local_cities_components
07111000;Koblenz;Rheinland-Pfalz;local_cities_components
05315000;Koeln;Nordrhein-Westfalen;manual_2024_reference
08335043;Konstanz;Baden-Württemberg;local_cities_components
05114000;Krefeld;Nordrhein-Westfalen;manual_2024_reference
16073112;Königsee;Thüringen;local_cities_components
13072062;Laage;Mecklenburg-Vorpommern;local_cities_components
07141075;Lahnstein;Rheinland-Pfalz;local_cities_components
14625310;Lauta;Sachsen;local_cities_components
14521355;Lauter-Bernsbach;Sachsen;local_cities_components
10044112;Lebach;Saarland;local_cities_components
16061115;Leinefelde-Worbis;Thüringen;local_cities_components
14713000;Leipzig;Sachsen;local_cities_components
05316000;Leverkusen;Nordrhein-Westfalen;manual_2024_reference
07334017;Lingenfeld;Rheinland-Pfalz;local_cities_components
14729245;Lossatal;Sachsen;local_cities_components
12061320;Luckau;Brandenburg;local_cities_components
08118048;Ludwigsburg;Baden-Württemberg;local_cities_components
07314000;Ludwigshafen am Rhein;Rheinland-Pfalz;local_cities_components
13076090;Ludwigslust;Mecklenburg-Vorpommern;local_cities_components
01003000;Luebeck;Schleswig-Holstein;manual_2024_reference
15003000;Magdeburg;Sachsen-Anhalt;local_cities_components
07315000;Mainz;Rheinland-Pfalz;local_cities_components
10045116;Mandelbachtal;Saarland;local_cities_components
08222000;Mannheim;Baden-Württemberg;local_cities_components
10046112;Marpingen;Saarland;local_cities_components
16066042;Meiningen;Thüringen;local_cities_components
08437076;Mengen;Baden-Württemberg;local_cities_components
10042114;Mettlach;Saarland;local_cities_components
05116000;Moenchengladbach;Nordrhein-Westfalen;manual_2024_reference
05170024;Moers;Nordrhein-Westfalen;manual_2024_reference
05117000;Muelheim an der Ruhr;Nordrhein-Westfalen;manual_2024_reference
09162000;Muenchen;Bayern;manual_2024_reference
05515000;Muenster;Nordrhein-Westfalen;manual_2024_reference
15086140;Möckern;Sachsen-Anhalt;local_cities_components
13071107;Neubrandenburg;Mecklenburg-Vorpommern;local_cities_components
16072013;Neuhaus am Rennweg;Thüringen;local_cities_components
05162024;Neuss;Nordrhein-Westfalen;manual_2024_reference
07316000;Neustadt an der Weinstraße;Rheinland-Pfalz;local_cities_components
13076105;Neustadt-Glewe;Mecklenburg-Vorpommern;local_cities_components
13071110;Neustrelitz;Mecklenburg-Vorpommern;local_cities_components
07138045;Neuwied;Rheinland-Pfalz;local_cities_components
07339042;Nieder-Olm;Rheinland-Pfalz;local_cities_components
16077036;Nobitz;Thüringen;local_cities_components
10046114;Nohfelden;Saarland;local_cities_components
09564000;Nuernberg;Bayern;manual_2024_reference
05119000;Oberhausen;Nordrhein-Westfalen;manual_2024_reference
14524230;Oberlungwitz;Sachsen;local_cities_components
10046116;Oberthal;Saarland;local_cities_components
15083411;Oebisfelde-Weferlingen;Sachsen-Anhalt;local_cities_components
08125078;Oedheim;Baden-Württemberg;local_cities_components
06413000;Offenbach am Main;Hessen;manual_2024_reference
08317096;Offenburg;Baden-Württemberg;local_cities_components
03403000;Oldenburg;Niedersachsen;manual_2024_reference
03404000;Osnabrueck;Niedersachsen;manual_2024_reference
07331055;Osthofen;Rheinland-Pfalz;local_cities_components
10043115;Ottweiler;Saarland;local_cities_components
05774032;Paderborn;Nordrhein-Westfalen;manual_2024_reference
13075105;Pasewalk;Mecklenburg-Vorpommern;local_cities_components
15088295;Petersberg;Sachsen-Anhalt;local_cities_components
08231000;Pforzheim;Baden-Württemberg;local_cities_components
13076114;Plau am See;Mecklenburg-Vorpommern;local_cities_components
14523320;Plauen;Sachsen;local_cities_components
12054000;Potsdam;Brandenburg;local_cities_components
12063244;Premnitz;Brandenburg;local_cities_components
07232296;Prüm;Rheinland-Pfalz;local_cities_components
14625450;Pulsnitz;Sachsen;local_cities_components
16075085;Pößneck;Thüringen;local_cities_components
