manifesto_id,filename,path,municipality,state,party,party_abbreviation,election_year,election_type,document_type,mapping_method,mapping_status,city_abbreviation
GLMP-5C13BBBD4D,ka89cdu.txt,manifestos/ka89cdu.txt,Kassel,Hessen,CDU,cdu,1989.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-EBE242CD2B,ka93cdu.txt,manifestos/ka93cdu.txt,Kassel,Hessen,CDU,cdu,1993.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-D6622D73EF,of93fdp.txt,manifestos/of93fdp.txt,Offenbach am Main,Hessen,FDP,fdp,1993.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-4D127DEB31,of93gru.txt,manifestos/of93gru.txt,Offenbach am Main,Hessen,Grüne,gru,1993.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-98ED3253C4,ac94spd.txt,manifestos/ac94spd.txt,Aachen,Nordrhein-Westfalen,SPD,spd,1994.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-D9821B418E,bi94gru.txt,manifestos/bi94gru.txt,Bielefeld,Nordrhein-Westfalen,Grüne,gru,1994.0,local election,Wahlprogramm,legacy_filename,ok,bi
GLMP-A11301080C,bn94cdu.txt,manifestos/bn94cdu.txt,Bonn,Nordrhein-Westfalen,CDU,cdu,1994.0,local election,Wahlprogramm,legacy_filename,ok,bn
GLMP-1C49532B32,es94fdp.txt,manifestos/es94fdp.txt,Essen,Nordrhein-Westfalen,FDP,fdp,1994.0,local election,Wahlprogramm,legacy_filename,ok,es
GLMP-1BE660B5BD,hm94gru.txt,manifestos/hm94gru.txt,Hamm,Nordrhein-Westfalen,Grüne,gru,1994.0,local election,Wahlprogramm,legacy_filename,ok,hm
GLMP-5B5E76BBAC,kr94cdu.txt,manifestos/kr94cdu.txt,Krefeld,Nordrhein-Westfalen,CDU,cdu,1994.0,local election,Wahlprogramm,legacy_filename,ok,kr
GLMP-BE5116D001,le94cdu.txt,manifestos/le94cdu.txt,Leverkusen,Nordrhein-Westfalen,CDU,cdu,1994.0,local election,Wahlprogramm,legacy_filename,ok,le
GLMP-0436B165C9,mg94fdp.txt,manifestos/mg94fdp.txt,Moenchengladbach,Nordrhein-Westfalen,FDP,fdp,1994.0,local election,Wahlprogramm,legacy_filename,ok,mg
GLMP-5466071F66,mo94cdu.txt,manifestos/mo94cdu.txt,Moers,Nordrhein-Westfalen,CDU,cdu,1994.0,local election,Wahlprogramm,legacy_filename,ok,mo
GLMP-8881E7894B,ob94cdu.txt,manifestos/ob94cdu.txt,Oberhausen,Nordrhein-Westfalen,CDU,cdu,1994.0,local election,Wahlprogramm,legacy_filename,ok,ob
