abbrev;city_full;;
ac;Aachen;;
au;Augsburg;;
bg;Bergisch Gladbach;;
bh;Bremerhaven;;
br;Bremen;;
bi;Bielefeld;;
bn;Bonn;;
bo;Bochum;;
bs;Braunschweig;;
bt;Bottrop;;
ch;Chemnitz;;
co;Cottbus;;
da;Darmstadt;;
dl;Delmenhorst;;
do;Dortmund;;
dr;Dresden;;
ds;Düsseldorf;;
du;Duisburg;;
ef;Erfurt;;
em;Emden;;
er;Erlangen;;
es;Essen;;
ff;Frankfurt am Main;;
fr;Freiburg im Breisgau;;
fu;Fürth;;
ge;Gelsenkirchen;;
go;Göttingen;;
gt;Gütersloh;;
ha;Hagen;;
hd;Heidelberg;;
he;Herne;;
hi;Hildesheim;;
hl;Halle (Saale);;
hm;Hamm;;
hn;Heilbronn;;
hv;Hannover;;
in;Ingolstadt;;
je;Jena;;
ka;Kassel;;
kb;Koblenz;;
ki;Kiel;;
ko;Köln;;
kr;Krefeld;;
ks;Karlsruhe;;
lb;Lübeck;;
le;Leverkusen;;
lp;Leipzig;;
lu;Ludwigshafen am Rhein;;
ma;Mannheim;;
mb;Magdeburg;;
mg;Mönchengladbach;;
mh;Mülheim an der Ruhr;;
mo;Moers;;
ms;Münster;;
mu;München;;
mz;Mainz;;
ne;Neuss;;
nu;Nürnberg;;
ob;Oberhausen;;
of;Offenbach am Main;;
ol;Oldenburg;;
os;Osnabrück;;
pb;Paderborn;;
pf;Pforzheim;;
po;Potsdam;;
re;Recklinghausen;;
rg;Regensburg;;
ro;Rostock;;
rs;Remscheid;;
rt;Reutlingen;;
sa;Salzgitter;;
sb;Saarbrücken;;
sg;Solingen;;
si;Siegen;;
st;Stuttgart;;
tr;Trier;;
ul;Ulm;;
wi;Wiesbaden;;
wo;Wolfsburg;;
wu;Wuppertal;;
wv;Wilhelmshaven;;
wz;Würzburg;;
;;;
