state_name;state;rb;kreis;vb;gem;city;area;inhabitants_2024;
Nordrhein-Westfalen;;;;;ac;Aachen;160,85;262670;
Baden-Württemberg;8;1;36;5001;088;Aalen;146,58;68816;
Baden-Württemberg;8;4;26;5005;001;Achstetten;23,38;5120;
Mecklenburg-Vorpommern;13;0;71;5163;004;Altentreptow;53,07;5263;
Rheinland-Pfalz;7;3;31;0003;003;Alzey;35,22;19265;
Thüringen;16;0;70;0004;004;Arnstadt;104,99;28124;
Thüringen;16;0;65;5055;086;Artern;45,05;6635;
Bayern;;;;;au;Augsburg;146,85;301105;
Brandenburg;12;0;69;0020;020;Bad Belzig;236,09;11172;
Sachsen-Anhalt;15;0;88;0020;020;Bad Dürrenberg;36,15;11752;
Rheinland-Pfalz;7;1;38;5002;004;Bad Hönningen;20,09;6133;
Rheinland-Pfalz;7;1;33;0006;006;Bad Kreuznach;55,56;52529;
Sachsen;14;7;29;5301;010;Bad Lausick;70,02;8191;
Baden-Württemberg;8;2;15;5001;100;Bad Schönborn;24,1;13239;
Baden-Württemberg;8;2;11;0000;000;Baden-Baden;140,19;57025;
Baden-Württemberg;8;2;37;0004;004;Baiersbronn;189,58;14942;
Sachsen-Anhalt;15;0;83;0040;040;Barleben;29,75;9238;
Brandenburg;12;0;69;0017;017;Beelitz;181,3;13219;
Nordrhein-Westfalen;;;;;bg;Bergisch Gladbach;83,09;111361;
Brandenburg;12;0;60;0020;020;Bernau bei Berlin;104,19;43685;
Sachsen-Anhalt;15;0;86;0005;005;Biederitz;39,4;8744;
Nordrhein-Westfalen;;;;;bi;Bielefeld;258,83;331605;
Rheinland-Pfalz;7;1;34;5002;010;Birkenfeld;13,64;7220;
Sachsen-Anhalt;15;0;90;0070;070;Bismark;289,49;7909;
Baden-Württemberg;8;3;26;0005;005;Blumberg;98,72;10256;
Baden-Württemberg;8;1;15;0003;003;Böblingen;39,04;51460;
Nordrhein-Westfalen;;;;;bo;Bochum;145,66;358676;
Nordrhein-Westfalen;;;;;bn;Bonn;141,06;323336;
Rheinland-Pfalz;7;1;40;0501;501;Boppard;74,88;15616;
Sachsen-Anhalt;15;0;89;0042;042;Bördeland;92,39;7507;
Nordrhein-Westfalen;;;;;bt;Bottrop;100,61;118535;
